"site_no","SAMPLE_DATE","Dec_Lat","Dec_Long","AP","CHARACTERISTIC_NAME","RSLT_RESULT_VALUE","RSLT_RESULT_UNIT"
420811079120701,2021-07-27,43.146556,-74.969778,"?","SODIUM",17100,"ug/L"
420814077373001,2013-07-11,42.1385,-77.62475,"N","SODIUM",17200,"ug/L"
420924074315601,2015-10-14,42.150889,-74.520833,"N","SODIUM",17500,"ug/L"
420925075534001,2019-11-25,42.157014,-75.894519,"N","SODIUM",87300,"ug/L"
420926079355501,2011-11-08,42.1576,-79.5983,"N","SODIUM",48500,"ug/L"
420926079355501,2011-11-08,42.1576,-79.5983,"N","SODIUM",48200,"ug/L"
420926079355501,2016-11-29,42.1576,-79.5983,"N","SODIUM",37900,"ug/L"
420927077471501,2020-09-15,42.157861,-77.787389,"N","SODIUM",69200,"ug/L"
420940074492001,2015-10-06,42.16075,-74.820972,"N","SODIUM",3960,"ug/L"
421007075194201,2020-07-15,42.168833,-75.3285,"N","SODIUM",4210,"ug/L"
421012074391201,2020-08-05,42.16868,-74.652139,"N","SODIUM",17700,"ug/L"
421013078230601,2021-09-14,42.170344,-78.384741,"N","SODIUM",61800,"ug/L"
421018076232001,2019-10-07,42.17175,-76.388972,"N","SODIUM",7420,"ug/L"
421036079214601,2016-10-31,42.176686,-79.362886,"N","SODIUM",3130,"ug/L"
421043075073001,2020-08-05,42.17868,-75.12521,"N","SODIUM",5440,"ug/L"
421125079143801,2016-10-11,42.190194,-79.244583,"N","SODIUM",27200,"ug/L"
421130077233601,2013-07-10,42.190833,-77.392722,"N","SODIUM",24900,"ug/L"
421158079031201,2016-10-12,42.199381,-79.053275,"N","SODIUM",34000,"ug/L"
421208078075601,2020-09-01,42.20208,-78.13219,"N","SODIUM",27200,"ug/L"
421221075462001,2019-07-18,42.205806,-75.772167,"N","SODIUM",136000,"ug/L"
421246078161601,2021-09-15,42.212845,-78.270848,"N","SODIUM",22100,"ug/L"
421300078160001,2011-08-22,42.2156,-78.2728,"N","SODIUM",37300,"ug/L"
421300078160001,2011-08-22,42.215667,-78.272778,"N","SODIUM",37300,"ug/L"
421300078160001,2016-09-12,42.2156,-78.2728,"N","SODIUM",38100,"ug/L"
421300078160001,2016-09-12,42.215667,-78.272778,"N","SODIUM",38100,"ug/L"
421300078160001,2021-09-15,42.2156,-78.2728,"N","SODIUM",42600,"ug/L"
421300078160001,2021-09-15,42.215667,-78.272778,"N","SODIUM",42600,"ug/L"
421322073475105,2018-08-13,42.222808,-73.797508,"N","SODIUM",31300,"ug/L"
421338073380901,2013-07-25,42.227333,-73.634833,"N","SODIUM",10000,"ug/L"
421338073380901,2018-08-14,42.227333,-73.634833,"N","SODIUM",14700,"ug/L"
421341077121801,2018-10-02,42.2282,-77.205225,"N","SODIUM",37400,"ug/L"
421342078430401,2021-07-27,42.228306,-78.717722,"N","SODIUM",5000,"ug/L"
421348075505701,2014-07-30,42.230083,-75.849194,"N","SODIUM",1200000,"ug/L"
421350076110301,2014-07-09,42.230528,-76.184278,"N","SODIUM",15900,"ug/L"
421350076110301,2019-10-01,42.230528,-76.184278,"N","SODIUM",15500,"ug/L"
421512079161601,2021-07-27,42.265778,-79.257556,"N","SODIUM",26100,"ug/L"
421512079161601,2021-07-27,42.265778,-79.257556,"N","SODIUM",25800,"ug/L"
421526076402701,2019-09-30,42.257111,-76.674056,"N","SODIUM",4650,"ug/L"
421526076402701,2019-09-30,42.257111,-76.674056,"N","SODIUM",4640,"ug/L"
421601079360901,2021-07-26,42.267022,-79.602467,"N","SODIUM",40600,"ug/L"
421604074364001,2020-07-16,42.267333,-74.611167,"N","SODIUM",6320,"ug/L"
421659078402301,2016-11-30,42.2831,-78.673,"N","SODIUM",7450,"ug/L"
421800077051901,2013-07-25,42.299944,-77.088639,"N","SODIUM",62900,"ug/L"
421801079055401,2021-07-28,42.295833,-79.099306,"N","SODIUM",7030,"ug/L"
421820074013201,2018-10-04,42.305694,-74.025639,"N","SODIUM",63800,"ug/L"
421854074255901,2016-11-15,42.31728,-74.42811,"N","SODIUM",96700,"ug/L"
421857073530301,2013-07-11,42.315778,-73.884444,"N","SODIUM",116000,"ug/L"
421902079213101,2016-11-16,42.317297,-79.358552,"N","SODIUM",8630,"ug/L"
421949076224501,2019-10-02,42.330333,-76.379167,"N","SODIUM",39100,"ug/L"
422017077005801,2013-07-09,42.337111,-77.015833,"N","SODIUM",34100,"ug/L"
422040078232201,2016-08-03,42.344297,-78.38933,"N","SODIUM",4540,"ug/L"
422047075100201,2019-10-21,42.346544,-75.167397,"N","SODIUM",16500,"ug/L"
422055075445801,2019-10-01,42.348472,-75.749444,"N","SODIUM",10900,"ug/L"
422112076364501,2012-11-20,42.352958,-76.612729,"N","SODIUM",48700,"ug/L"
422112076364501,2017-12-13,42.352958,-76.612729,"N","SODIUM",60100,"ug/L"
422118074103801,2013-07-09,42.355028,-74.176972,"N","SODIUM",14600,"ug/L"
422118078543101,2016-08-02,42.354853,-78.908719,"N","SODIUM",5170,"ug/L"
422120076502901,2017-11-06,42.35537,-76.842104,"N","SODIUM",12500,"ug/L"
422126079024801,2021-07-28,42.361556,-79.050972,"N","SODIUM",93300,"ug/L"
422130077400001,2018-08-28,42.359167,-77.666,"N","SODIUM",64800,"ug/L"
422228073302701,2018-07-30,42.374444,-73.5075,"N","SODIUM",5870,"ug/L"
422237076092001,2014-08-06,42.376833,-76.155444,"N","SODIUM",7350,"ug/L"
422238074252101,2016-11-08,42.38233,-74.41911,"N","SODIUM",241000,"ug/L"
422249073392501,2018-09-19,42.380278,-73.656944,"N","SODIUM",5330,"ug/L"
422309074525301,2015-10-13,42.386028,-74.881333,"N","SODIUM",2650,"ug/L"
422426078280701,2016-07-20,42.407214,-78.468636,"N","SODIUM",5820,"ug/L"
422440077253301,2018-09-04,42.411111,-77.425833,"N","SODIUM",35700,"ug/L"
422508077441301,2018-09-05,42.418889,-77.736944,"N","SODIUM",38800,"ug/L"
422515074312001,2016-10-19,42.420528,-74.523056,"N","SODIUM",25300,"ug/L"
422515074312001,2016-10-19,42.420528,-74.523056,"N","SODIUM",25400,"ug/L"
422527078292101,2021-07-29,42.419528,-78.494667,"N","SODIUM",20000,"ug/L"
422559078545801,2021-07-27,42.433083,-78.916222,"N","SODIUM",3440,"ug/L"
422618075360001,2014-08-14,42.438407,-75.59963,"N","SODIUM",30500,"ug/L"
422637076163501,2019-10-01,42.443694,-76.276444,"N","SODIUM",8120,"ug/L"
422660073385401,2013-07-08,42.449917,-73.648833,"N","SODIUM",39200,"ug/L"
422718078005301,2020-09-14,42.455222,-78.005611,"N","SODIUM",53600,"ug/L"
422722078562001,2016-12-06,42.456054,-78.938877,"N","SODIUM",52200,"ug/L"
422729077465601,2020-09-15,42.457722,-77.78225,"N","SODIUM",22800,"ug/L"
422752078064801,2020-09-14,42.46456,-78.11356,"N","SODIUM",52200,"ug/L"
422753075191901,2014-08-13,42.464944,-75.321806,"N","SODIUM",8270,"ug/L"
422809074473901,2014-07-30,42.469111,-74.794028,"N","SODIUM",42100,"ug/L"
422827074509901,2019-10-21,42.472364,-74.850006,"N","SODIUM",12800,"ug/L"
422831079100101,2016-11-30,42.475297,-79.167052,"N","SODIUM",4730,"ug/L"
