FID,Shape,OBJECTID,FIN,ACRES,SHORELINE_,WATER,SHAPE_AREA,SHAPE_LEN,POLY_AREA,PERIMETER
6755,Polygon ZM,6743,C-15-54-8-P5136,15.4,0.7,Grass Pond,62370.03919,1190.534775,15.411959,1190.534775
6756,Polygon ZM,6744,C-P49,3.3,0.3,Lower Inman Pond,13535.39024,474.824706,3.344665,474.824706
6757,Polygon ZM,6745,C-15-P110-6-P114-5-P181,115.8,2,Deer Pond,468646.0844,3234.748508,115.804867,3234.748508
6758,Polygon ZM,6746,C-P59,22.9,0.8,Big Hope Pond,92485.51294,1352.140997,22.853648,1352.140997
6759,Polygon ZM,6747,C-15-22-8-2-1-1-P5092,1.7,0.2,Unnamed Water,6710.08699,398.985742,1.658097,398.985742
6760,Polygon ZM,6748,C-P127,2.5,0.2,Bosquet Pond,10021.87785,362.685547,2.476458,362.685547
6761,Polygon ZM,6749,C-P122,2.4,0.2,West Polliwog Pond,9656.95602,372.735645,2.386284,372.735645
6762,Polygon ZM,6750,C-15-51-2-A-P5125,0.4,0.1,Unnamed Water,1493.410341,198.337511,0.369029,198.337511
6770,Polygon ZM,6958,H-367-1-P123A,0.4,0.1,Luzerne Reservoir,1784.146623,202.854663,0.440872,202.854663
6790,Polygon ZM,6978,C-15-51-P5119,0.5,0.1,Unnamed Water,2211.467014,205.842238,0.546465,205.842238
6791,Polygon ZM,6979,C-15-P110-6-P114-9-P199-2-1-P201,11.5,0.5,St. Germain Pond,46559.02284,859.59406,11.504975,859.59406
6808,Polygon ZM,6160,H-343-P114-2-P5206,1.6,0.3,Unnamed Water,6427.73783,418.91755,1.588327,418.91755
6837,Polygon ZM,6476,C-15-P110-6-P114,57.4,1.4,Upper Saranac Lake,232111.5361,2195.325617,57.355959,2195.325617
6838,Polygon ZM,6477,C-P118-1-P119,16.7,0.8,Little Polliwog Pond,67764.74797,1240.361687,16.745019,1240.361687
6898,Polygon ZM,6478,C-P89,6.3,0.5,Turtle Pond,25510.48857,747.694598,6.303773,747.694598
6899,Polygon ZM,6479,C-P148,5.7,0.4,Federation Pond,23109.66229,707.167932,5.710517,707.167932
6900,Polygon ZM,6480,C-15-P110-6-P114-5-2-P183,63.5,1.6,Green Pond,257174.8923,2547.533993,63.549244,2547.533993
6901,Polygon ZM,6481,C-P204,1.7,0.2,Conley Line Pond,6927.132761,316.854165,1.71173,316.854165
6905,Polygon ZM,6485,SL-2-58-15-P5088,1.6,0.3,Unnamed Water,6639.765158,524.930023,1.64072,524.930023
6931,Polygon ZM,6787,SLC-25-16-P5045,9.9,1.2,Unnamed Water,39932.31276,1916.18579,9.867481,1916.18579
6932,Polygon ZM,6898,SL-2-59-13-2-P342,16.7,1,Mile Pond,67411.66782,1583.167645,16.657771,1583.167645
6933,Polygon ZM,6899,SL-2-48-4-P5041,1.3,0.2,Unnamed Water,5156.257583,328.486582,1.274138,328.486582
6934,Polygon ZM,6900,SL-2-58-12-P332,27.7,1.7,Tracy Pond,112247.1008,2657.496861,27.736838,2657.496861
6936,Polygon ZM,6902,SL-2-45-P303,17.8,0.8,Round Pond,72089.61501,1212.836727,17.813716,1212.836727
6941,Polygon ZM,6907,C-15-P110-6-P114,31.2,0.9,Upper Saranac Lake,126345.4242,1487.624142,31.220607,1487.624142
6942,Polygon ZM,6908,C-P133,1.3,0.3,Unnamed Water,5339.490132,476.828331,1.319416,476.828331
6943,Polygon ZM,6909,C-P118,86.3,2.5,Horseshoe Pond,349443.0127,4032.904376,86.349173,4032.904376
6975,Polygon ZM,6504,SLC-29-21-4-P5115,0.9,0.3,Unnamed Water,3719.798045,450.452903,0.919181,450.452903
6976,Polygon ZM,6505,SLC-29-30-P5038,1.1,0.3,Unnamed Water,4609.205628,459.252579,1.138959,459.252579
6986,Polygon ZM,6788,SL-2-48-P323,24.6,2.3,Church Pond,99468.28523,3638.022227,24.579127,3638.022227
6988,Polygon ZM,6790,SL-P5108,1.8,0.3,Unnamed Water,7150.250489,413.347692,1.766864,413.347692
6989,Polygon ZM,6791,SL-2-59-14-P5074,1.4,0.3,Unnamed Water,5737.704112,471.858652,1.417816,471.858652
6990,Polygon ZM,6792,SL-2-59-39-P369-2-P371,29.2,1.8,Horseshoe Pond,118157.764,2878.988659,29.197394,2878.988659
6992,Polygon ZM,6794,SL-2-59-37-4A-2-P5152,1,0.2,Unnamed Water,3983.59042,322.4544,0.984366,322.4544
6993,Polygon ZM,6795,SL-2-45-17-5-P5069,9.1,0.7,Unnamed Water,36883.93557,1197.988331,9.114211,1197.988331
6995,Polygon ZM,6797,SL-2-59-18-P345,63,1.9,Moosehead Pond,254909.2783,3003.723392,62.989399,3003.723392
6996,Polygon ZM,6798,SL-2-48-P311,2.3,0.4,Unnamed Water,9406.901572,694.01599,2.324494,694.01599
6998,Polygon ZM,5908,SL-2-59-37-P367,40.1,1.2,Jocks Pond,162402.2253,1855.693036,40.130428,1855.693036
6999,Polygon ZM,5909,SL-2-59-18-1-P346,6.6,0.6,Unnamed Water,26549.68591,1014.117137,6.560564,1014.117137
7000,Polygon ZM,5910,SL-2-58-15-P5089,1.4,0.3,Unnamed Water,5836.943557,558.360681,1.442339,558.360681
7001,Polygon ZM,5911,SL-2-59-27-P349,10.1,1.1,Brother Ponds,40857.03988,1731.942059,10.095985,1731.942059
7002,Polygon ZM,5912,SL-P5062-1-P5081,1,0.2,Unnamed Water,3930.127819,290.736302,0.971155,290.736302
7003,Polygon ZM,5913,SL-2-45-17-5-P5071,1,0.2,Unnamed Water,4184.095137,293.918079,1.033912,293.918079
7022,Polygon ZM,6225,C-15-22-15-P5107,6.5,0.8,Daigneau Pond,26125.84931,1318.736483,6.455832,1318.736483
7023,Polygon ZM,6226,C-P136,16.2,0.6,Echo Pond,65413.37366,1009.587965,16.163982,1009.587965
7024,Polygon ZM,6227,C-15-P110-6-P114-4-P115,5.6,0.4,Brandy Pond,22661.14861,594.422395,5.599687,594.422395
7025,Polygon ZM,6228,C-P93,0.7,0.1,Unnamed Water,2679.905621,189.083362,0.662219,189.083362
7026,Polygon ZM,6229,C-15-P110-6-P114-5-10-P176,5,0.4,Unnamed Water,20137.68881,722.429941,4.976127,722.429941
7027,Polygon ZM,6230,C-15-22-P52,59.3,3,Mud Pond,240019.1583,4780.170381,59.309973,4780.170381
7028,Polygon ZM,6231,C-15-51-2-A-P5124,1.2,0.2,Unnamed Water,4999.29633,309.886441,1.235352,309.886441
7029,Polygon ZM,6232,C-P130A,5.1,0.3,Little Black Pond,20757.60957,552.071129,5.129312,552.071129
7030,Polygon ZM,6233,C-15-P110-6-P114-5-6-P144,4.4,0.4,Unnamed Water,17807.02645,574.048372,4.400208,574.048372
7031,Polygon ZM,6234,C-15-P110-6-P114-5-12-P180,107.4,2.3,Whey Pond,434575.3278,3697.75494,107.385807,3697.75494
7032,Polygon ZM,6235,C-P203,13.6,0.7,Meadow Pond,54998.76428,1090.143867,13.590479,1090.143867
7033,Polygon ZM,6236,C-P69,18.1,0.7,Loon Pond,73063.00582,1049.576292,18.054246,1049.576292
7034,Polygon ZM,6237,C-P5143,0.6,0.2,Unnamed Water,2369.569223,312.451227,0.585533,312.451227
7035,Polygon ZM,6515,C-134-4-19-19-3-P439,9.9,0.5,Bear Pond,39871.96501,799.87741,9.852568,799.87741
7038,Polygon ZM,6518,C-15-22-P66-P70,97.1,3,Clear Pond,392918.382,4877.007167,97.092161,4877.007167
7039,Polygon ZM,6519,C-P5103,2.4,0.5,Unnamed Water,9615.892703,764.924087,2.376137,764.924087
7040,Polygon ZM,6520,C-15-P110-6-P114-14-P206,2.2,0.3,Porkchop Pond,9013.092602,421.047026,2.227182,421.047026
7041,Polygon ZM,6521,C-P99,16.7,0.8,Owl Pond,67506.76718,1315.830071,16.681271,1315.830071
7042,Polygon ZM,6522,C-15-P110-6-P114-5-7-P159,50.2,1.7,Slang Pond,203200.0489,2782.031641,50.211781,2782.031641
7043,Polygon ZM,6523,C-15-35-P75,31.6,1,Cranberry Pond,127786.7545,1544.999961,31.576767,1544.999961
7044,Polygon ZM,6524,SL-2-48-20-P321,35.5,1.3,Long Pond,143580.5809,2115.448753,35.479503,2115.448753
7045,Polygon ZM,6525,C-15-P110-6-P114-9-1-P191-1-P192,69.9,1.4,Little Green Pond,282874.9164,2300.948069,69.899852,2300.948069
