FID,Shape,OBJECTID,FIN,ACRES,SHORELINE_,WATER,SHAPE_AREA,SHAPE_LEN,POLY_AREA,PERIMETER
3,Polygon ZM,4,ONT-19-60-6-1-P5389,0.2,0.1,Unnamed Water,664.612005,97.49406,0.164229,97.49406
4,Polygon ZM,5,ONT-19-P477,1.3,0.2,Unnamed Water,5301.713568,352.399496,1.310081,352.399496
5,Polygon ZM,6,ONT-19-40-P493-19-P539-5-P541-7-3-P552-1-7-P555,8,0.5,Sly Pond,32353.9082,803.65757,7.994818,803.65757
6,Polygon ZM,7,ONT-19-P5397,1,0.2,Unnamed Water,4131.269114,304.432789,1.020858,304.432789
7,Polygon ZM,8,ONT-19-P5665,0.6,0.1,Unnamed Water,2488.155699,239.627136,0.614836,239.627136
8,Polygon ZM,9,ONT-19-81-51-4-P5545,0,0,Unnamed Water,196.995564,54.062546,0.048679,54.062546
9,Polygon ZM,10,ONT-19-134-P5655,1.5,0.4,Unnamed Water,6035.853605,590.120153,1.491491,590.120153
11,Polygon ZM,12,ONT-19-P5094,0.7,0.2,Unnamed Water,2876.559835,266.074236,0.710813,266.074236
12,Polygon ZM,13,ONT-19-P5449,0.2,0.1,Unnamed Water,1002.387655,140.899365,0.247695,140.899365
13,Polygon ZM,14,ONT-19-57-4-2-P604,0.2,0.1,Little Punky Pond,953.024121,118.23208,0.235497,118.23208
15,Polygon ZM,16,ONT-19-P613,1.3,0.2,Mahan Pond,5329.759835,280.73058,1.317011,280.73058
16,Polygon ZM,17,ONT-19-P815,3.6,0.3,Dwight Pond,14455.07443,476.864472,3.571924,476.864472
17,Polygon ZM,18,ONT-19-P685,1.8,0.2,Unnamed Water,7124.670668,303.629632,1.760543,303.629632
19,Polygon ZM,20,ONT-19-40-22-3-P488,2.5,0.3,Unnamed Water,10168.75597,406.062368,2.512752,406.062368
20,Polygon ZM,21,ONT-19-40-P493-19-P539-5-P541-7-3-P552-2-1-P558,2.1,0.3,Fly Ponds,8503.277712,468.408633,2.101204,468.408633
21,Polygon ZM,22,ONT-19-81-55-7-P5552,0.1,0.1,Unnamed Water,435.307328,96.457028,0.107567,96.457028
22,Polygon ZM,23,ONT-19-40-P493-19-1-P538,199.7,4.7,Rock Lake,808084.4036,7496.789373,199.681828,7496.789373
23,Polygon ZM,24,ONT-19-P5351,1.1,0.3,Unnamed Water,4336.159962,463.409454,1.071488,463.409454
24,Polygon ZM,25,ONT-19-57-10-6-P5232,0.7,0.2,Unnamed Water,2908.565982,354.887193,0.718722,354.887193
25,Polygon ZM,26,ONT-19-57-22-P645,4.3,0.3,Unnamed Water,17314.61091,547.828288,4.27853,547.828288
26,Polygon ZM,27,ONT-19-57-9-2-P5123,0.8,0.2,Unnamed Water,3266.047562,261.632849,0.807057,261.632849
27,Polygon ZM,28,ONT-19-P711,0.2,0.1,Unnamed Water,859.810076,121.534741,0.212464,121.534741
28,Polygon ZM,29,ONT-19-70-4-P689-2-P5401,1.9,0.4,Unnamed Water,7542.209496,606.610583,1.863719,606.610583
30,Polygon ZM,31,ONT-19-P5507,0.7,0.1,Unnamed Water,2789.551455,198.929142,0.689313,198.929142
31,Polygon ZM,32,ONT-19-81-18-P782D,2052.7,19.2,Fourth Lake,8307058.444,30956.83694,2052.717031,30956.83694
32,Polygon ZM,33,ONT-19-P672,1,0.2,Unnamed Water,4111.054741,270.121483,1.015863,270.121483
33,Polygon ZM,34,ONT-19-P5220,1.5,0.2,Unnamed Water,5921.799578,330.458959,1.463307,330.458959
34,Polygon ZM,35,ONT-19-81-18-P782D-10-P787A-2-1-1-P789,88.5,2.5,Bug Lake,357997.9546,4033.233486,88.463143,4033.233486
35,Polygon ZM,36,ONT-19-81-34-P808,691.9,7.2,Little Moose Lake,2800182.06,11541.35226,691.939444,11541.35226
36,Polygon ZM,37,ONT-19-57-9-1-P5116,6.3,0.7,Unnamed Water,25536.80971,1048.901422,6.310278,1048.901422
37,Polygon ZM,38,ONT-19-P1007,431.6,11.4,North Lake,1746671.924,18351.1126,431.61165,18351.1126
38,Polygon ZM,39,ONT-19-57-5-1-P5136,0.9,0.2,Unnamed Water,3489.832248,282.785996,0.862356,282.785996
39,Polygon ZM,40,ONT-19-81-14-P713-2-P5473,0.5,0.2,Unnamed Water,1876.281314,243.285599,0.463639,243.285599
40,Polygon ZM,41,ONT-19-81-18-13-P726,0.8,0.2,Unnamed Water,3169.568144,253.308507,0.783217,253.308507
41,Polygon ZM,42,C-P327,1,0.1,Bullet Pond,3951.640196,238.406731,0.976471,238.406731
42,Polygon ZM,43,C-P5178,0,0,Unnamed Water,133.231988,46.439999,0.032922,46.439999
43,Polygon ZM,44,C-P255,2.7,0.3,Bartlett Pond,10855.37424,440.109542,2.682419,440.109542
44,Polygon ZM,45,C-25-26-35-5-P254,1954.3,21.5,Lake Placid,7908810.734,34568.91158,1954.307966,34568.91158
45,Polygon ZM,46,C-25-27-18-P268,3.6,0.3,Clements Pond,14642.25505,488.922854,3.618177,488.922854
46,Polygon ZM,47,C-P5371,0.5,0.1,Highland Farm Pond,1884.586276,161.703694,0.465691,161.703694
47,Polygon ZM,48,C-25-27-26-6-P272,3.1,0.3,Lost Pond,12463.9343,469.438713,3.079903,469.438713
48,Polygon ZM,49,C-P259,0.6,0.1,Unnamed Water,2314.722196,205.736557,0.57198,205.736557
49,Polygon ZM,50,C-P5174,1.2,0.2,Unnamed Water,4660.566106,261.879753,1.15165,261.879753
50,Polygon ZM,51,C-25-26-4-1-P222,417.7,4.3,Fern Lake,1690222.271,6989.455224,417.66265,6989.455224
51,Polygon ZM,52,C-25-26-4-P227,858.6,9.7,Taylor Pond,3474625.687,15678.48314,858.597947,15678.48314
52,Polygon ZM,53,C-P216,1,0.2,Unnamed Water,4093.021847,241.723292,1.011407,241.723292
53,Polygon ZM,54,C-25-8-P218,160.6,3,Butternut Pond,649937.858,4877.634611,160.603,4877.634611
54,Polygon ZM,55,ONT-19-81-52-P841,6.3,1,Kettle Pond,25449.95222,1583.6089,6.288815,1583.6089
55,Polygon ZM,56,ONT-19-104-6A-P5498,0.4,0.1,Unnamed Water,1807.180827,222.628595,0.446564,222.628595
56,Polygon ZM,57,ONT-19-57-4-P597,112,4.4,Chase Lake,453048.7685,7079.476064,111.95069,7079.476065
57,Polygon ZM,58,ONT-19-60-4-P662,37.3,3.3,Catspaw Lake,150954.9174,5321.932677,37.301739,5321.932677
58,Polygon ZM,59,ONT-19-81-18-P782D-10-P787A-2-1-P790,305.9,4.1,Eighth Lake,1238053.912,6632.593377,305.929514,6632.593377
59,Polygon ZM,60,C-25-27-30-P5198,1.5,0.2,Unnamed Water,5896.228432,337.299084,1.456988,337.299084
60,Polygon ZM,61,C-P266,0.8,0.1,Lake Arnold,3210.056571,224.725982,0.793222,224.725982
61,Polygon ZM,62,C-25-27-P276,141.9,5,Lower Ausable Lake,574303.2303,8079.907826,141.913293,8079.907826
62,Polygon ZM,63,C-25-27-P277,152,3.3,Upper Ausable Lake,615135.5254,5383.376674,152.003164,5383.376674
63,Polygon ZM,64,ONT-19-81-7-3-P5415,1.4,0.2,Unnamed Water,5820.709308,349.054178,1.438327,349.054178
64,Polygon ZM,65,ONT-19-P5245,2.9,0.3,Unnamed Water,11584.30302,525.365609,2.862541,525.365609
65,Polygon ZM,66,ONT-19-40-22-P5190,0.8,0.2,Unnamed Water,3398.177239,243.680527,0.839707,243.680527
66,Polygon ZM,67,ONT-19-40-P493-32-P584,142.6,4.4,Twitchell Lake,577245.4931,7017.902147,142.640342,7017.902147
68,Polygon ZM,69,ONT-19-81-52-P846,4.4,0.4,Unnamed Water,17682.2911,602.366198,4.369385,602.366198
69,Polygon ZM,70,ONT-19-40-19-P5174,0.5,0.1,Unnamed Water,2076.035904,235.966547,0.512999,235.966547
71,Polygon ZM,72,ONT-19-P665,0.2,0.1,Unnamed Water,731.643917,98.903751,0.180793,98.903751
73,Polygon ZM,74,ONT-19-P479,0.5,0.1,Unnamed Water,2121.217717,190.11288,0.524164,190.11288
74,Polygon ZM,75,ONT-19-81-55-6-P5551,8,0.5,Unnamed Water,32489.36613,864.707912,8.02829,864.707912
76,Polygon ZM,77,ONT-19-81-7-P5417-1-P5416,0.2,0.1,Unnamed Water,775.380982,118.55066,0.191601,118.55066
77,Polygon ZM,78,ONT-19-57-8-P5098,2.4,0.4,Unnamed Water,9585.014804,627.089008,2.368507,627.089008
78,Polygon ZM,79,ONT-19-P435,1.4,0.2,Unnamed Water,5665.106183,271.844075,1.399877,271.844075
79,Polygon ZM,80,ONT-19-P5672,0.2,0.1,Unnamed Water,627.951615,102.610959,0.15517,102.610959
80,Polygon ZM,81,ONT-19-60-P676,220.6,5.7,Big Otter Lake,892655.3828,9187.147414,220.579754,9187.147414
81,Polygon ZM,82,ONT-19-40-18-P5172,0.5,0.1,Unnamed Water,1941.285974,223.529624,0.479702,223.529624
82,Polygon ZM,83,ONT-19-P5254,1.3,0.2,Unnamed Water,5092.113674,359.727956,1.258288,359.727956
83,Polygon ZM,84,ONT-19-70-4-P689,327.4,7.4,Brantingham Lake,1324982.124,11922.0709,327.409924,11922.0709
84,Polygon ZM,85,ONT-19-81-49A-P835,1.8,0.2,Cross Pond,7319.382959,323.864033,1.808657,323.864033
85,Polygon ZM,86,ONT-19-P609,0.4,0.1,Unnamed Water,1748.979698,179.750969,0.432182,179.750969
87,Polygon ZM,88,ONT-19-81-51-P5585,0.3,0.1,Unnamed Water,1215.314807,148.446962,0.300311,148.446962
88,Polygon ZM,89,ONT-19-81-18-17-15-P746-4-P747,99.8,2.8,Cascade Lake,403717.0372,4494.932838,99.760564,4494.932838
90,Polygon ZM,91,ONT-19-57-10-P5128,0.3,0.1,Unnamed Water,1028.732175,124.033482,0.254205,124.033482
92,Polygon ZM,93,ONT-19-81-18-17-P739-1-1-P5352,0.3,0.1,Unnamed Water,1331.883606,189.093415,0.329115,189.093415
93,Polygon ZM,94,ONT-19-P5124,0.5,0.1,Unnamed Water,2065.637267,180.275874,0.51043,180.275874
94,Polygon ZM,95,ONT-19-40-P493-5-P5206,2.6,0.4,Unnamed Water,10444.92868,669.469837,2.580996,669.469837
95,Polygon ZM,96,ONT-19-57-9-P5122,0.8,0.2,Unnamed Water,3059.19168,281.437944,0.755942,281.437944
96,Polygon ZM,97,ONT-19-40-20-1-P463,1.5,0.2,Unnamed Water,6144.055722,356.547085,1.518228,356.547085
97,Polygon ZM,98,ONT-19-81-18-17-P5659,1.3,0.3,Unnamed Water,5104.229478,510.768122,1.261281,510.768122
99,Polygon ZM,100,ONT-19-P688,3.4,0.3,Unnamed Water,13827.88582,441.683173,3.416942,441.683173
100,Polygon ZM,101,ONT-19-94-1-P922,150.8,7.7,Long Lake,610257.9918,12426.77463,150.797901,12426.77463
102,Polygon ZM,103,ONT-19-104-13-P5502,2.4,0.4,Unnamed Water,9551.116935,563.816852,2.36013,563.816852
104,Polygon ZM,105,ONT-19-81-18-17-P5519,1.1,0.3,Unnamed Water,4356.805645,526.071217,1.076589,526.071217
105,Polygon ZM,106,ONT-19-81-45-2-P5536,0.4,0.1,Unnamed Water,1554.224722,167.44479,0.384057,167.44479
106,Polygon ZM,107,ONT-19-81-52-P5541,2.8,0.4,Unnamed Water,11253.83052,637.854671,2.78088,637.854671
107,Polygon ZM,108,ONT-19-81-18-17-P752-7-P769-1-5-P771,0.8,0.2,Unnamed Water,3357.887391,269.62171,0.829751,269.62171
108,Polygon ZM,109,ONT-19-88-5-P5479,1.2,0.3,Unnamed Water,5031.564219,420.928815,1.243325,420.928815
110,Polygon ZM,111,C-96-P355-5-P359,2,0.2,Mud Pond,7975.946317,343.653783,1.970898,343.653783
111,Polygon ZM,112,C-P5240,5.4,0.3,Burris Pond,21982.71226,556.644804,5.432042,556.644804
112,Polygon ZM,113,C-128-6-5-P410,4.6,0.5,Spectacle Ponds,18517.17378,768.105217,4.575689,768.105217
113,Polygon ZM,114,C-P1,276083.9,622.2,Lake Champlain,1117276430,1001306.168,276084.7744,1001306.168
115,Polygon ZM,116,C-3-P20,1827.8,12.4,Chazy Lake,7396875.454,20035.44237,1827.806115,20035.44237
117,Polygon ZM,118,C-P5243,1.1,0.3,Unnamed Water,4548.136672,404.057651,1.123868,404.057651
118,Polygon ZM,119,C-P5248,0.8,0.3,Unnamed Water,3358.361579,408.174042,0.829868,408.174042
119,Polygon ZM,120,C-101-P367-83-P394,147.5,3.6,Jabe Pond,597083.27,5831.412661,147.542359,5831.412661
120,Polygon ZM,121,C-48-6-16-1-P290,3.6,0.3,Ore Bed Pond,14679.43259,516.964718,3.627364,516.964718
121,Polygon ZM,122,C-P1,1188.6,18.2,Lake Champlain,4810164.758,29298.48174,1188.616547,29298.48174
122,Polygon ZM,123,C-101-P367-65-4-P5301,1.6,0.2,Brown Pond,6404.043236,308.697991,1.582472,308.697991
123,Polygon ZM,124,C-101-P367-10-B-P370,2.9,0.3,Unnamed Water,11668.30256,485.518456,2.883298,485.518456
124,Polygon ZM,125,C-P5256,1.3,0.2,Unnamed Water,5278.214833,368.044538,1.304274,368.044538
125,Polygon ZM,126,C-127-4-P401,1,0.2,Unnamed Water,4114.359264,281.736678,1.016679,281.736678
126,Polygon ZM,127,C-127-1-P5257,3.9,0.4,Unnamed Water,15862.48139,640.929858,3.919701,640.929858
127,Polygon ZM,128,C-P332,1.8,0.2,Cranberry Pond,7435.258875,321.383197,1.837291,321.383197
128,Polygon ZM,129,C-P330,3.3,0.3,Lillypad Pond,13507.05674,475.841368,3.337663,475.841368
129,Polygon ZM,130,C-43-P285,123.8,2.4,Warm Pond,501186.9217,3911.045765,123.845876,3911.045765
130,Polygon ZM,131,C-96-P351A,171.7,5.9,Penfield Pond,695036.3457,9447.239967,171.74707,9447.239967
131,Polygon ZM,132,C-96-P355-7-P361,7.9,0.5,Heart Pond,31922.58913,865.226064,7.888237,865.226064
133,Polygon ZM,134,C-43-P284,297.3,5.2,Long Pond,1203131.267,8372.417002,297.299948,8372.417002
134,Polygon ZM,135,C-96-P355-6-P360,106.9,2.3,North Pond,432639.4246,3682.428188,106.907436,3682.428188
135,Polygon ZM,136,C-P5165,2,0.2,Unnamed Water,7989.463965,369.921587,1.974238,369.921587
136,Polygon ZM,137,C-101-P367-53-P379,254.2,4.1,Trout Lake,1028842.234,6540.681678,254.232228,6540.681678
137,Polygon ZM,138,C-128-P414,112.6,3.9,Crossett Pond,455749.0032,6220.321054,112.617932,6220.321054
138,Polygon ZM,139,C-128-P412,73.8,2.7,Lakes Pond,298647.8374,4355.43421,73.797423,4355.43421
139,Polygon ZM,140,C-101-P367,28523.1,162.3,Lake George,115429211,261177.5056,28523.154,261177.5056
140,Polygon ZM,141,C-23-10-1-P5171,0.3,0.1,Unnamed Water,1334.368089,182.065095,0.329729,182.065095
141,Polygon ZM,142,C-21-12-P5077,1.1,0.2,Unnamed Water,4356.420051,243.668094,1.076494,243.668094
142,Polygon ZM,143,C-73-2-4-P5213,0.7,0.2,Westport Reservoir 2,2863.485659,241.517399,0.707582,241.517399
143,Polygon ZM,144,C-48-26-P315,648.5,10.8,Lincoln Pond,2624215.938,17432.27429,648.457307,17432.27429
149,Polygon ZM,150,ONT-19-P5588,0.9,0.2,Unnamed Water,3616.358963,253.234759,0.893621,253.234759
150,Polygon ZM,151,ONT-19-40-P478,310.1,8.7,Moshier Reservoir,1255025.347,14062.30902,310.123243,14062.30902
151,Polygon ZM,152,ONT-19-40-18-4-P5167,4.3,0.5,Unnamed Water,17308.6218,874.418208,4.27705,874.418208
165,Polygon ZM,166,ONT-19-57-7-2-1-P5093,0.8,0.2,Unnamed Water,3310.157151,253.563624,0.817957,253.563624
166,Polygon ZM,167,ONT-19-81-18-17-2-P729,0.2,0.1,Unnamed Water,653.418968,105.687388,0.161463,105.687388
169,Polygon ZM,170,ONT-19-P5608,1.4,0.3,Unnamed Water,5500.716984,557.102221,1.359256,557.102221
171,Polygon ZM,172,ONT-19-81-18-18-2-P5515,3,0.3,Unnamed Water,11966.81169,426.87412,2.957061,426.87412
174,Polygon ZM,175,ONT-19-81-55-9-P5562,0.3,0.1,Unnamed Water,1063.643129,151.249873,0.262832,151.249873
175,Polygon ZM,176,ONT-19-40-P493-21-P5318,0.3,0.1,Unnamed Water,1237.65435,182.163549,0.305831,182.163549
176,Polygon ZM,177,ONT-19-P5556,1,0.2,Unnamed Water,4004.700544,290.319322,0.989582,290.319322
177,Polygon ZM,178,ONT-19-81-44-7-1-P817,0.9,0.3,Unnamed Water,3754.349588,432.869062,0.927719,432.869062
178,Polygon ZM,179,ONT-19-40-P449,324.7,12.2,Beaver Lake,1314057.831,19638.75243,324.710475,19638.75243
179,Polygon ZM,180,ONT-19-81-51-2-2-P5547,0.4,0.1,Unnamed Water,1580.85988,166.622232,0.390639,166.622232
180,Polygon ZM,181,ONT-19-81-7-1-P701-2-P5409,0.4,0.1,Unnamed Water,1548.84652,180.962975,0.382728,180.962975
181,Polygon ZM,182,ONT-19-P5164,0.2,0.1,Unnamed Water,886.040883,117.982097,0.218945,117.982097
183,Polygon ZM,184,ONT-19-P928,0.6,0.1,Unnamed Water,2419.363796,183.774089,0.597837,183.774089
184,Polygon ZM,185,ONT-19-P670,0.2,0.1,Unnamed Water,897.382714,110.298742,0.221748,110.298742
185,Polygon ZM,186,ONT-19-40-P493-21-8-P5319,0.5,0.1,Unnamed Water,1850.343063,211.082506,0.457229,211.082506
186,Polygon ZM,187,ONT-19-P5194,1.8,0.3,Unnamed Water,7396.658947,406.523696,1.827753,406.523696
187,Polygon ZM,188,ONT-19-P5400,0.5,0.1,Unnamed Water,1916.158604,168.174987,0.473493,168.174987
188,Polygon ZM,189,ONT-19-P671,0.8,0.2,Unnamed Water,3421.700602,254.59953,0.84552,254.59953
189,Polygon ZM,190,ONT-19-P5273,0.5,0.1,Unnamed Water,2173.37208,237.374605,0.537051,237.374605
190,Polygon ZM,191,ONT-19-P5589,2.6,0.3,Unnamed Water,10584.63544,541.965631,2.615518,541.965631
191,Polygon ZM,192,ONT-19-81-18-17-P739,243.8,12.2,Lake Rondaxe,986608.1041,19639.49629,243.795956,19639.49629
192,Polygon ZM,193,ONT-19-P1007-10-2-P5573,2.6,0.4,Unnamed Water,10623.05157,620.424583,2.625011,620.424583
193,Polygon ZM,194,ONT-19-81-44-9-P5555,0.3,0.1,Unnamed Water,1085.752102,190.476663,0.268295,190.476663
194,Polygon ZM,195,ONT-19-81-45-P832-2-P833,2.1,0.4,Why Pond,8531.499801,566.153088,2.108178,566.153088
196,Polygon ZM,197,ONT-19-40-P493-19-P539-5-P541-7-3-P552-1-P5315,2.3,0.3,Unnamed Water,9248.735129,484.989021,2.28541,484.989021
197,Polygon ZM,198,ONT-19-P784,4.8,0.3,Surprise Pond,19607.78521,523.937615,4.845185,523.937615
199,Polygon ZM,200,ONT-19-40-P434,330.6,12.7,Soft Maple Reservoir,1337831.772,20395.93558,330.585138,20395.93558
201,Polygon ZM,202,ONT-19-81-18-P782D-18-P795,18.9,0.8,Quiver Pond,76304.52767,1259.362561,18.855243,1259.362561
202,Polygon ZM,203,ONT-19-40-20-2-P470,0.9,0.2,Unnamed Water,3611.095037,271.923618,0.89232,271.923618
203,Polygon ZM,204,ONT-19-P1007-11-B-P1015,5.9,0.5,Hardscrabble Lake,23820.20677,769.558012,5.886096,769.558012
205,Polygon ZM,206,ONT-19-P5398,1.2,0.2,Unnamed Water,4757.387948,372.96239,1.175575,372.96239
206,Polygon ZM,207,ONT-19-81-18-17-14-A-P735,91.7,5.4,Little Safford Lake,370938.2032,8727.494965,91.660745,8727.494965
207,Polygon ZM,208,ONT-19-40-P493-19-P539-5-P541,1428.2,12.7,Lake Lila,5779632.423,20434.78011,1428.177012,20434.78011
209,Polygon ZM,210,ONT-19-81-18-17-P5661,0.6,0.2,Unnamed Water,2532.741378,355.786327,0.625853,355.786327
210,Polygon ZM,211,ONT-19-81-18-P727,45,4.2,Unnamed Water,182304.7267,6742.457451,45.048439,6742.457451
223,Polygon ZM,224,ONT-19-81-52-9-P845,0.4,0.1,Harry Ponds,1606.561374,176.854281,0.39699,176.854281
224,Polygon ZM,225,ONT-19-81-18-P782D-10-P787A,834.5,13,Seventh Lake,3377132.516,20905.52679,834.506881,20905.52679
235,Polygon ZM,236,ONT-19-81-60-3-2-1-P879,8.2,0.5,Lost Ponds,33247.45948,859.291302,8.215619,859.291302
258,Polygon ZM,259,ONT-19-81-51-4-P5544,0.1,0.1,Unnamed Water,539.422269,92.91203,0.133294,92.91203
259,Polygon ZM,260,ONT-19-40-P493-19-P539,641.6,10.3,Nehasane Lake,2596379.161,16501.81546,641.578696,16501.81546
260,Polygon ZM,261,ONT-19-40-P493-6-3-2-P509,1.1,0.2,Unnamed Water,4569.544044,331.903221,1.129158,331.903221
261,Polygon ZM,262,ONT-19-81-24-P804,199.3,5.4,Nicks Lake,806519.3714,8694.658543,199.295101,8694.658543
262,Polygon ZM,263,ONT-19-P5546,1.9,0.2,Unnamed Water,7716.188104,397.673874,1.90671,397.673874
263,Polygon ZM,264,ONT-19-P1007-10-1-P5571,0.6,0.1,Unnamed Water,2235.333821,179.328824,0.552363,179.328824
264,Polygon ZM,265,ONT-19-P471,0.5,0.1,Unnamed Water,2154.471521,231.125294,0.532381,231.125294
265,Polygon ZM,266,ONT-19-81-18-17-P752,1230.1,18.8,Big Moose Lake,4978062.354,30330.43315,1230.104909,30330.43315
266,Polygon ZM,267,ONT-19-57-9-P5120,1.1,0.3,Unnamed Water,4366.171521,406.747037,1.078904,406.747037
267,Polygon ZM,268,ONT-19-P856,1.5,0.2,Unnamed Water,6271.071719,348.359759,1.549614,348.359759
268,Polygon ZM,269,ONT-19-57-8-P5102,2.2,0.3,Unnamed Water,8839.913535,471.073045,2.184388,471.073045
269,Polygon ZM,270,ONT-19-57-5B-P5032,1.4,0.4,Unnamed Water,5738.708751,582.659136,1.418065,582.659136
270,Polygon ZM,271,ONT-19-81-52-P842,0.5,0.1,Unnamed Water,2008.888155,201.339506,0.496407,201.339506
271,Polygon ZM,272,ONT-19-P612,1.1,0.2,Unnamed Water,4356.427709,254.49793,1.076496,254.49793
272,Polygon ZM,273,ONT-19-81-45-2-1-P829,1.4,0.4,Unnamed Water,5552.18834,620.977823,1.371974,620.977823
273,Polygon ZM,274,ONT-19-126A-P5642,1.1,0.2,Unnamed Water,4651.592018,282.561394,1.149432,282.561394
274,Polygon ZM,275,ONT-19-P5159,0.8,0.2,Unnamed Water,3393.622389,287.154912,0.838582,287.154912
275,Polygon ZM,276,ONT-19-P5213,0.9,0.2,Unnamed Water,3814.206299,364.532638,0.94251,364.532638
276,Polygon ZM,277,ONT-19-P1007-13-A-P1017,3.9,0.3,Unnamed Water,15643.97215,559.486253,3.865706,559.486253
277,Polygon ZM,278,ONT-19-114-16-4-P995,8.4,0.4,Burp Lake,33881.3569,684.888013,8.372258,684.888013
278,Polygon ZM,279,ONT-19-P5587,0.2,0.1,Unnamed Water,896.18346,124.227463,0.221452,124.227463
279,Polygon ZM,280,ONT-19-P601,2.1,0.2,Calfhead Pond,8412.480839,376.922577,2.078767,376.922577
280,Polygon ZM,281,ONT-19-P5566,1.6,0.2,Unnamed Water,6378.43255,383.263799,1.576144,383.263799
281,Polygon ZM,282,ONT-19-81-45-2-P5535,2.8,0.4,Unnamed Water,11364.40695,590.062138,2.808204,590.062138
282,Polygon ZM,283,ONT-19-P442,3,0.4,Mccabe Pond,12032.69251,564.056516,2.97334,564.056516
283,Polygon ZM,284,ONT-19-60-14-P674,0.7,0.1,Goose Pond,2720.979715,203.758428,0.672368,203.758428
284,Polygon ZM,285,ONT-19-57-5-P614-1-P5024,1,0.2,Unnamed Water,4013.361061,249.662271,0.991722,249.662271
285,Polygon ZM,286,ONT-19-40-P449-2-P450-2-P451,139.7,5.2,Francis Lake,565542.9011,8290.958486,139.748571,8290.958486
286,Polygon ZM,287,ONT-19-81-7-1-7-P5424,0.2,0.1,Unnamed Water,718.662043,99.497041,0.177585,99.497041
287,Polygon ZM,288,ONT-19-40-P493-21-1-P5285,2.3,0.4,Unnamed Water,9356.054332,584.342574,2.311929,584.342574
288,Polygon ZM,289,ONT-19-40-P493-24-6-P5339,0.5,0.2,Unnamed Water,2028.158177,259.983028,0.501168,259.983028
302,Polygon ZM,303,ONT-19-P660,0.8,0.2,Unnamed Water,3272.449037,270.33405,0.808639,270.33405
303,Polygon ZM,304,ONT-19-40-18-5-P5195,1.6,0.3,Unnamed Water,6402.586305,454.176276,1.582112,454.176276
316,Polygon ZM,317,ONT-19-40-19-P5176,0.6,0.1,Unnamed Water,2445.165281,229.609804,0.604213,229.609804
317,Polygon ZM,318,ONT-19-104-3-5-P958,240.6,6.3,White Lake,973717.2561,10162.36671,240.610561,10162.36671
373,Polygon ZM,374,ONT-19-81-7-P5417,0.3,0.1,Unnamed Water,1350.116687,206.488537,0.333621,206.488537
383,Polygon ZM,384,SLC-P5243,0.9,0.1,Unnamed Water,3459.820562,211.547891,0.85494,211.547891
384,Polygon ZM,385,SLC-21-P2-10-6-8-1-1-P5041,1.7,0.2,Unnamed Water,6678.988506,336.020866,1.650413,336.020866
474,Polygon ZM,475,SL-2-48-16B-P5098,1.6,0.2,Unnamed Water,6295.573236,366.572378,1.555669,366.572378
483,Polygon ZM,484,SL-2-59-32-1-P352,65.7,3.1,Sampson Pond,265743.8962,5021.182574,65.666689,5021.182574
484,Polygon ZM,485,SL-P5072,2.3,0.3,Unnamed Water,9337.384683,479.391386,2.307316,479.391386
491,Polygon ZM,492,SL-2-59-P366,187,7.2,Grass River Flow,756571.3393,11615.95285,186.952684,11615.95285
492,Polygon ZM,493,SL-2-58-16-4-1-P5092,2.2,0.3,Unnamed Water,8715.652392,403.200848,2.153683,403.200848
493,Polygon ZM,494,SL-2-59-32-1-P352-C-P353,0.8,0.1,Egg Pond,3198.429248,209.595973,0.790348,209.595973
502,Polygon ZM,503,SL-P5084,1.7,0.2,Unnamed Water,6723.387636,345.12216,1.661384,345.12216
503,Polygon ZM,504,SL-2-48-19-P5100,1.1,0.2,Unnamed Water,4401.154921,345.180862,1.087548,345.180862
504,Polygon ZM,505,SL-2-59-39-P369,439.5,8.2,Massawepie Lake,1778707.798,13205.20925,439.52788,13205.20925
514,Polygon ZM,515,SLC-29-18-P5057,2.3,0.2,Unnamed Water,9285.818693,393.554178,2.294574,393.554178
516,Polygon ZM,517,SLC-21-P2-11-2-P5026-1-P5025,0.9,0.1,Unnamed Water,3522.024455,233.466516,0.87031,233.466516
536,Polygon ZM,537,SLC-29-P50-3-P58,47.5,2.7,Ragged Lake,192292.905,4301.292147,47.51657,4301.292147
537,Polygon ZM,538,SLC-P5083,1.3,0.2,Elm Pond,5110.024165,292.182485,1.262713,292.182485
544,Polygon ZM,545,SLC-29-P50,234.7,8,Mountain View Lake,949766.9432,12866.55231,234.692315,12866.55231
545,Polygon ZM,546,SLC-29-18-P5114,0.9,0.2,Unnamed Water,3565.646452,292.253966,0.88109,292.253966
566,Polygon ZM,567,C-P5114,2.1,0.3,Unnamed Water,8445.318587,428.877165,2.086882,428.877165
567,Polygon ZM,568,C-P71,0.3,0.1,Unnamed Water,1059.043871,125.622514,0.261695,125.622514
568,Polygon ZM,569,C-P156A,2.5,0.3,Dry Lake,10059.80258,472.809472,2.485829,472.809472
569,Polygon ZM,570,C-15-22-P66,362.9,11.8,Rainbow Lake,1468798.355,18912.07739,362.947657,18912.07739
570,Polygon ZM,571,C-P5133,0.5,0.1,Unnamed Water,1828.322142,184.897651,0.451788,184.897651
581,Polygon ZM,582,C-P77,0.7,0.2,Unnamed Water,2923.016797,303.712289,0.722293,303.712289
582,Polygon ZM,583,C-15-22-P66-P70,137.9,7.8,Clear Pond,557863.8548,12505.75815,137.851039,12505.75815
