Report_Name,Well_ID,Site_No,Well_ID_CK,Dec_Lat,Dec_Long,AP,CC,
St Lawrence-2020,ST3712,441248075050201,ST3712,44.213389,-75.084083,Y,ST,
Open-File Report 2019-1005,ST3703,444200075114801,ST3703,44.699583,-75.196278,N,ST,
Open-File Report 2019-1005,ST3674,443927075291301,ST3674,44.658028,-75.488139,N,ST,
Open-File Report 2019-1005,ST3627,441245075142601,ST3627,44.212389,-75.238694,N,ST,
St Lawrence-2020,ST3496,444746074594501,ST3496,44.796167,-74.995778,N,ST,
Open-File Report 2019-1005,ST3358,442844075350101,ST3358,44.478972,-75.583417,N,ST,
St Lawrence-2020,ST2820,443606074525801,ST2820,44.611222,-74.877139,N,ST,
Open-File Report 2019-1005,ST2460,444456074400301,ST2460,44.748778,-74.667444,N,ST,
Open-File Report 2007–1066,ST2349,444009075030601,ST2349,44.669167,-75.051778,N,ST,
Open-File Report 2019-1005,ST2227,444439074594601,ST2227,44.744028,-74.996444,N,ST,
Open-File Report 2007–1066,ST2136,441337074333603,ST2136,44.226944,-74.560000,Y,ST,
Open-File Report 2019-1005,ST2065,445435074540402,ST2065,44.909639,-74.901056,N,ST,
Open-File Report 2007–1066,ST1984,443850074532001,ST1984,44.647278,-74.888861,N,ST,
Open-File Report 2007–1066,ST1855,442651075451501,ST1855,44.447500,-75.754333,N,ST,
Open-File Report 2007–1066,ST1818,442639075262801,ST1818,44.444167,-75.440972,N,ST,
Open-File Report 2007–1066,ST1773,443346075103701,ST1773,44.562833,-75.177000,N,ST,
Open-File Report 2007–1066,ST1720,441339074505201,ST1720,44.227528,-74.847861,Y,ST,
St Lawrence-2020,ST1515,443014074541201,ST1515,44.503750,-74.903250,N,ST,
St Lawrence-2020,ST1514,443115075040801,ST1514,44.520972,-75.069111,N,ST,
St Lawrence-2020,ST1513,443714075241001,ST1513,44.618325,-75.401378,N,ST,
St Lawrence-2020,ST1493,443329075412101,ST1493,44.558056,-75.689167,N,ST,
St Lawrence-2020,ST1424,444454075075401,ST1424,44.752667,-75.213833,N,ST,
Open-File Report 2007–1066,ST1421,444802074590802,ST1421,44.800833,-74.985000,N,ST,
Open-File Report 2007–1066,ST1420,441928075150501,ST1420,44.322778,-75.243611,N,ST,
St Lawrence-2020,ST1417,441337074333602,ST1417,44.226944,-74.560000,Y,ST,
Open-File Report 2007–1066,ST1415,443705075242701,ST1415,44.621111,-75.410278,N,ST,
Open-File Report 2007–1066,ST 950,445159075115601,ST 950,44.866667,-75.197222,N,ST,
Open-File Report 2019-1005,ST 943,441301074364801,ST 943,44.218861,-74.616778,Y,ST,
St Lawrence-2020,ST 378 ,443306074555101,ST 378 ,44.551583,-74.930917,N,ST,
Open-File Report 2019-1005,ST 378,443306074555101,ST 378,44.551583,-74.930917,N,ST,
Open-File Report 2007–1066,ST 378,443306074555101,ST 378,44.551583,-74.930917,N,ST,
Open-File Report 2019-1005,ST 366,443021075042901,ST 366,44.505833,-75.074444,N,ST,
Open-File Report 2007–1066,ST 366,443021075042901,ST 366,44.505833,-75.074444,N,ST,
Lower Hudson-2018,SO2182,423141074153301,SO2182,42.528056,-74.259167,N,SO,
Mohawk-2016,SO2048,424204074272201,SO2048,42.701110,-74.456220,N,SO,
Mohawk-2016,SO1976,424242074364401,SO1976,42.711690,-74.612310,N,SO,
Mohawk-2021,SO1611,423617074342201,SO1611,42.604833,-74.572861,N,SO,
Mohawk-2021,SO1596,424040074132301,SO1596,42.778056,-74.223194,N,SO,
Open-File Report 2008–1086,SO1411,423507074171701,SO1411,42.585278,-74.288056,N,SO,
Open-File Report 2008–1086,SO1408,423355074273401,SO1408,42.565278,-74.459444,N,SO,
Open-File Report 2008–1086,SO1384,424630074342001,SO1384,42.775000,-74.572222,N,SO,
Open-File Report 2008–1086,SO1374,424705074201501,SO1374,42.784722,-74.337500,N,SO,
Mohawk-2016,SO 527,422238074252101,SO 527,42.382330,-74.419110,N,SO,
Mohawk-2016,SO 459,422515074312001,SO 459,42.420528,-74.523056,N,SO,
Open-File Report 2008–1086,SO9,424035074291101,SO   9,42.676389,-74.486389,N,SO,
Mohawk-2016,SN1257,425008074060201,SN1257,42.839306,-74.105530,N,SN,
Mohawk-2021,SN 758,425549074030501,SN 758,42.930194,-74.051472,N,SN,
Open-File Report 2008–1086,SN135,424909073591601,SN 135,42.819472,-73.987389,N,SN,
Central New York-2017,SE1380,423603076481801,SE1380,42.600669,-76.804927,N,SE,
Open-File Report 2015–1168,SB2802,420340077035001,SB2802,42.061194,-77.064139,N,SB,
Chemung-2018,SB2617,420044077171801,SB2617,42.012139,-77.288444,N,SB,
Chemung-2018,SB1580,423118077282001,SB1580,42.521778,-77.472167,N,SB,
Central New York-2017,SB1290,422902077070401,SB1290,42.483984,-77.117621,N,SB,
Open-File Report 2015–1168,SB1212,420814077373001,SB1212,42.138500,-77.624750,N,SB,
Open-File Report 2015–1168,SB1103,420630077145001,SB1103,42.106417,-77.248861,N,SB,
Genesee-2020,SB 672 ,423124077414901,SB 672 ,42.523222,-77.697000,N,SB,
Chemung-2018,SB 417,421341077121801,SB 417,42.228200,-77.205225,N,SB,
Open-File Report 2015–1168,SB 399,421130077233601,SB 399,42.190833,-77.392722,N,SB,
Open-File Report 2015–1168,SB 398,420247077323901,SB 398,42.047944,-77.543361,N,SB,
Chemung-2018,SB 392,422440077253301,SB 392,42.411111,-77.425833,N,SB,
Chemung-2018,SB 384,422130077400001,SB 384,42.359167,-77.666000,N,SB,
Upper Hudson-2017,SA4987,430728073443401,SA4987,43.124500,-73.742694,N,SA,
Open-File Report 2014–1084,SA4987,430728073443401,SA4987,43.124500,-73.742694,N,SA,
Open-File Report 2014–1084,SA3093,425651073395801,SA3093,42.947528,-73.666889,N,SA,
Open-File Report 2014–1084,SA2749,431620074000701,SA2749,43.287083,-74.006861,Y,SA,
Open-File Report 2014–1084,SA2669,430605073571001,SA2669,43.101583,-73.952917,N,SA,
Open-File Report 2008–1086,SA2198,425757073575201,SA2198,42.965833,-73.964500,N,SA,
Open-File Report 2008–1086,SA1501,424713073473601,SA1501,42.786861,-73.792861,N,SA,
Mohawk-2021,SA1501,424713073473601,SA1501,42.786861,-73.792861,N,SA,
Mohawk-2016,SA1501,424713073473601,SA1501,42.786861,-73.792861,N,SA,
Upper Hudson-2017,SA1190,425325073471901,SA1190,42.865560,-73.771390,N,SA,
Open-File Report 2014–1084,SA1190,425325073471901,SA1190,42.890472,-73.788222,N,SA,
Upper Hudson-2017,SA1091,430150073513201,SA1091,43.041444,-73.860083,N,SA,
Upper Hudson-2017,SA1090,431902073505301,SA1090,43.317611,-73.848278,Y,SA,
Mohawk-2016,SA1089,424834073491501,SA1089,42.808890,-73.787330,N,SA,
Open-File Report 2014–1084,SA1064,430052073505501,SA1064,43.054250,-73.849639,N,SA,
Lower Hudson-2018,RO 513,410744074074901,RO 513,41.130306,-74.131806,N,RO,
Upper Hudson-2017,RE4784,424631073391401,RE4784,42.772583,-73.649944,N,RE,
Open-File Report 2015–1168,RE2950,424409073334801,RE2950,42.736000,-73.563306,N,RE,
Open-File Report 2015–1168,RE2041,423355073211301,RE2041,42.565111,-73.353556,N,RE,
Open-File Report 2014–1084,RE1949,425330073171501,RE1949,42.891667,-73.287528,N,RE,
Lower Hudson-2018,RE1215,423054073410201,RE1215,42.515081,-73.683452,N,RE,
Upper Hudson-2017,RE1095,424508073210301,RE1095,42.752720,-73.350220,N,RE,
Open-File Report 2014–1084,RE 889,424135073222101,RE 889,42.693056,-73.372500,N,RE,
Lower Hudson-2018,P3198,412733073550801,P3198,41.461517,-73.918283,N,P,
Open-File Report 2015–1168,P2066,411940073564401,P2066,41.327194,-73.944028,N,P,
Open-File Report 2015–1168,P1218,412410073360105,P1218,41.401111,-73.597500,N,P,
WNY-2021,WO 351,423200078250001,WO 351,42.534750,-78.424306,N,WO,
Open-File Report 2019-1005,WO 352,424924078045901,WO 352,42.823472,-78.082722,N,WO,
Open-File Report 2012–1135,WO 352,424924078045901,WO 352,42.823472,-78.082722,N,WO,
Open-File Report 2008–1140,WO 432,423820078230201,WO 432,42.638750,-78.383833,N,WO,
Open-File Report 2007–1093,WO 445,425040078030901,WO 445,42.842056,-78.053556,N,WO,
Open-File Report 2007–1093,WO 821,423200078070701,WO 821,42.533583,-78.118222,N,WO,
Genesee-2020,WO 943,425004077575501,WO 943,42.834500,-77.965500,N,WO,
WNY-2021,WO1078,424049078221801,WO1078,42.680389,-78.371639,N,WO,
Open-File Report 2019-1005,WO1329,423606078044901,WO1329,42.602444,-78.080639,N,WO,
WNY-2016,WO1378,425004078232701,WO1378,42.834353,-78.390775,N,WO,
Open-File Report 2019-1005,WO1483,423559078140601,WO1483,42.599917,-78.234889,N,WO,
Open-File Report 2007–1093,OT1559,425040077283701,OT1559,42.844833,-77.477250,N,OT,
Central New York-2017,OT 270,424555076582101,OT 270,42.764910,-76.972181,N,OT,
Open-File Report 2012–1135,OT1134,424536077331601,OT1134,42.760667,-77.557472,N,OT,
Central New York-2017,OT1771,424619077122701,OT1771,42.772014,-77.206843,N,OT,
Central New York-2017,OT1821,423627077281701,OT1821,42.607502,-77.471205,N,OT,
Central New York-2017,OT1921,425716077254501,OT1921,42.954131,-77.434583,N,OT,
Open-File Report 2016–1153,CL 149,445939073275102,CL 149,44.986472,-73.455028,N,CL,
Champlain-2019,CL 153,444204073325901,CL 153,44.701111,-73.549722,N,CL,
Open-File Report 2016–1153,CL 169,443249073263001,CL 169,44.542944,-73.426417,Y,CL,
Open-File Report 2016–1153,CL 170,444203073325801,CL 170,44.707889,-73.546306,N,CL,
Open-File Report 2016–1153,CL 700,443526073502601,CL 700,44.591111,-73.839861,Y,CL,
Open-File Report 2016–1153,OG 316,423938075024001,OG 316,42.661528,-75.043722,N,OG,
Susquehanna-2019,OG 374,423718074401501,OG 374,42.621778,-74.670778,N,OG,
Open-File Report 2016–1153,OG 374,423718074401501,OG 374,42.621778,-74.670778,N,OG,
Open-File Report 2016–1153,OG 375,422753075191901,OG 375,42.464944,-75.321806,N,OG,
Susquehanna-2019,OG TBD,421919075193001,OG TBD,42.321944,-75.325000,N,OG,
Open-File Report 2016–1153,OG2287,423024074583101,OG2287,42.506861,-74.975528,N,OG,
Susquehanna-2019,OG2558,425029074504301,OG2558,42.841389,-74.845333,N,OG,
Central New York-2017,OE4082,431635075310401,OE4082,43.276539,-75.518002,N,OE,
Central New York-2017,OE3623,425854075285701,OE3623,42.981712,-75.482550,N,OE,
Mohawk-2016,OE3162,430840075202401,OE3162,43.144670,-75.340080,N,OE,
Mohawk-2016,OE2667,432325075250301,OE2667,43.390250,-75.417780,N,OE,
Open-File Report 2015–1168,OE2425,432836075232701,OE2425,43.476667,-75.390833,N,OE,
Open-File Report 2015–1168,OE1991,432652075121601,OE1991,43.447806,-75.203917,N,OE,
Open-File Report 2011–1074,OE 1991,432652075121601,OE1991,43.447806,-75.203917,N,OE,
Eastern Lake Ontario-2018,OE1991,432652075121601,OE1991,43.447806,-75.203917,N,OE,
Open-File Report 2008–1086,OE1841,430139075224501,OE1841,43.027500,-75.379167,N,OE,
Mohawk-2021,OE1468,425552075224901,OE1468,42.928611,-75.381556,N,OE,
Mohawk-2016,OE1468,425552075224901,OE1468,42.928611,-75.381556,N,OE,
Open-File Report 2008–1086,OE1462,425747075144501,OE1462,42.963056,-75.245583,N,OE,
Open-File Report 2008–1086,OE1460,430655075240001,OE1460,43.115667,-75.400306,N,OE,
Mohawk-2021,OE1460,430655075240001,OE1460,43.115667,-75.400306,N,OE,
Open-File Report 2008–1086,OE1458,432004075105101,OE1458,43.334528,-75.180583,N,OE,
Mohawk-2021,OE1112,425918075143801,OE1112,42.988456,-75.244039,N,OE,
Mohawk-2021,OE1112,425918075143801,OE1112,42.988456,-75.244039,N,OE,
Mohawk-2021,OE1104,432010075104701,OE1104,43.338667,-75.334222,N,OE,
Mohawk-2016,OE1038,430320075231601,OE1038,43.055390,-75.387920,N,OE,
Susquehanna-2019,OD1708D,425129075572401,OD1708D,42.858000,-75.956806,N,OD,
Susquehanna-2019,OD1276,424748076065501,OD1276,42.796667,-76.115278,N,OD,
Central New York-2017,OD 181,425135076202901,OD 181,42.859901,-76.340882,N,OD,
Central New York-2017,OD 180,425248075543801,OD 180,42.879777,-75.913548,N,OD,
Delaware-2020,O9967,412414074424301,O9967,41.404139,-74.712167,N,O,
Lower Hudson-2018,O8876,411824074122501,O8876,41.306667,-74.206944,N,O,
Open-File Report 2015–1168,O7842,411102074184901,O7842,41.183722,-74.313583,N,O,
Lower Hudson-2018,O2290,411736074275102,O2290,41.293333,-74.462778,N,O,
Open-File Report 2015–1168,O1864,412039074072001,O1864,41.343417,-74.123361,N,O,
Open-File Report 2015–1168,O1390,413340074111801,O1390,41.560806,-74.164278,N,O,
Open-File Report 2015–1168,O1348,412824074321901,O1348,41.470972,-74.542833,N,O,
Open-File Report 2019-1005,O10369,412234074374001,O10369,41.376778,-74.627639,N,O,
Lower Hudson-2018,O 403,412418074244202,O 403,41.405000,-74.411667,N,O,
Open-File Report 2008–1140,NI1093,431500079010001,NI1093,43.255917,-79.022472,N,NI,
Open-File Report 2016–1153,BM2178,420040075530601,BM2178,42.011028,-75.885000,N,BM,
Susquehanna-2019,BM3245,421221075462001,BM3245,42.205806,-75.772167,N,BM,
Chemung-2018,CM1661,420327076451101,CM1661,42.057556,-76.753028,N,CM,
Open-File Report 2016–1153,M 141,424601075440801,M 141,42.766889,-75.735333,N,M,
Susquehanna-2019,M1316,425106075422101,M1316,42.851889,-75.705889,N,M,
Susquehanna-2019,M1581,424702075253201,M1581,42.783833,-75.425500,N,M,
Open-File Report 2016–1153,M1847,425325075342201,M1847,42.890306,-75.572528,N,M,
Susquehanna-2019,M1928,424656075385001,M1928,42.782278,-75.647306,N,M,
Open-File Report 2008–1086,M 281,425553075283601,M 281,42.931639,-75.476389,N,M,
Mohawk-2021,M309,425553075283501,M309,42.931622,-75.476539,N,M,
Open-File Report 2012–1135,MO1402,430221077524001,MO 1402,43.039333,-77.878083,N,MO,
Open-File Report 2008–1140,MO1406,431428077450501,MO 1406,43.241972,-77.750167,N,MO,
WNY-2021,MO1442,431553077564301,MO1442,43.264806,-77.945222,N,MO,
Open-File Report 2012–1135,MO 1524,430049077362701,MO 1524,43.012389,-77.607778,N,MO,
Open-File Report 2007–1093,MO 1524,430049077362701,MO 1524,43.012389,-77.607778,N,MO,
Open-File Report 2008–1140,MO 1594,431613077575901,MO 1594,43.270306,-77.967056,N,MO,
Open-File Report 2007–1093,MO 1605,430127077463701,MO 1605,43.033611,-77.771944,N,MO,
WNY-2021,MO1642,431155077491401,MO 1642,43.198639,-77.820806,N,MO,
Genesee-2020,MO1667,425825077422201,MO 1667,42.973833,-77.706333,N,MO,
Genesee-2020,MO1680,430150077405001,MO 1680,43.030833,-77.680833,N,MO,
Open-File Report 2007–1066,CL 723,444624073572601,CL 723,44.773333,-73.957222,Y,CL,
Open-File Report 2016–1153,CL 848,445104073390001,CL 848,44.842083,-73.646472,N,CL,
Champlain-2019,CL 946,443731073543601,CL 946,44.625194,-73.910056,Y,CL,
Champlain-2019,CL TBD,445343073264401,CL TBD,44.895139,-73.445528,N,CL,
Open-File Report 2007–1066,CL1182,445720073554001,CL1182,44.955639,-73.927667,N,CL,
Champlain-2019,CL1359,444008073441201,CL1359,44.668889,-73.736667,Y,CL,
Champlain-2019,CL1459,445334073451301,CL1459,44.892667,-73.753500,N,CL,
